Ranking;Name;Year;Minutes;Genres;Rating;Votes;Gross
101;Tokyo Story;1953;136;Drama;8.2;62373;-1
102;The Last Picture Show;1971;118;Drama, Romance;8;48916;29.13
103;The Grapes of Wrath;1940;129;Drama;8.1;93962;0.06
104;To Kill a Mockingbird;1962;129;Crime, Drama;8.3;317433;-1
105;Mr. Smith Goes to Washington;1939;129;Comedy, Drama;8.1;116353;9.60
106;The Wages of Fear;1953;131;Adventure, Drama, Thriller;8.2;61812;-1
107;Patton;1970;172;Biography, Drama, War;7.9;102929;61.70
108;Roman Holiday;1953;118;Comedy, Romance;8;139459;-1
109;High Noon;1952;85;Drama, Thriller, Western;8;105103;9.45
110;Double Indemnity;1944;107;Crime, Drama, Film-Noir;8.3;158194;5.72
111;Forrest Gump;1994;142;Drama, Romance;8.8;2069583;330.25
112;The Silence of the Lambs;1991;118;Crime, Drama, Thriller;8.6;1428301;130.74
113;There Will Be Blood;2007;158;Drama;8.2;586906;40.22
114;Die Hard;1988;132;Action, Thriller;8.2;876064;83.01
115;Fargo;1996;98;Crime, Thriller;8.1;678339;24.61
116;American Beauty;1999;122;Drama;8.4;1153783;130.10
117;The Matrix;1999;136;Action, Sci-Fi;8.7;1906995;171.48
118;The Bridge on the River Kwai;1957;161;Adventure, Drama, War;8.2;221719;44.91
119;The Best Years of Our Lives;1946;170;Drama, Romance, War;8.1;65236;23.65
120;Roma;2018;135;Drama;7.7;159179;-1
121;White Heat;1949;114;Action, Crime, Drama;8.1;33420;-1
122;The Sound of Music;1965;172;Biography, Drama, Family;8.1;235538;163.21
123;Inception;2010;148;Action, Adventure, Sci-Fi;8.8;2341880;292.58
124;Bonnie and Clyde;1967;111;Action, Biography, Crime;7.7;114067;-1
125;Midnight Cowboy;1969;113;Drama;7.8;111988;44.79
126;Shane;1953;118;Drama, Western;7.6;41363;20.00
127;Intolerance: Love's Struggle Throughout the Ages;1916;163;Drama, History;7.7;15763;2.18
128;Man on Wire;2008;94;Documentary, Biography, Crime;7.7;56386;2.96
129;Battleship Potemkin;1925;75;Drama, History, Thriller;7.9;58318;0.05
130;Anatomy of a Murder;1959;161;Drama, Mystery;8;66990;11.90
131;The Leopard;1963;186;Drama, History;8;26364;-1
132;The Lady Vanishes;1938;96;Mystery, Thriller;7.8;53304;-1
133;Cool Hand Luke;1967;127;Crime, Drama;8.1;178240;16.22
134;The Usual Suspects;1995;106;Crime, Drama, Mystery;8.5;1083575;23.34
135;The Shining;1980;146;Drama, Horror;8.4;1020153;44.02
136;City of God;2002;130;Crime, Drama;8.6;756103;7.56
137;Heat;1995;170;Action, Crime, Drama;8.3;654489;67.44
138;Kind Hearts and Coronets;1949;106;Comedy, Crime;8;37740;-1
